roomId,roomName,date,price
681325,"Гоголя 11",02/10/2025,2600
681325,"Гоголя 11",03/10/2025,4200
681326,"Ковжуна 6",01/10/2025,1500
681326,"Ковжуна 6",02/10/2025,1800
681326,"Ковжуна 6",03/10/2025,2500
681327,"Костюшка 16",01/10/2025,2400
681327,"Костюшка 16",02/10/2025,2400
681327,"Костюшка 16",03/10/2025,3500
685616,"Замарстинівська 30",01/10/2025,1500
685616,"Замарстинівська 30",02/10/2025,1500
685616,"Замарстинівська 30",03/10/2025,2800
688997,"Курбаса 4/1",01/10/2025,2000
688997,"Курбаса 4/1",02/10/2025,2400
688997,"Курбаса 4/1",03/10/2025,3200
688998,"Курбаса 4/2",01/10/2025,1700
688998,"Курбаса 4/2",02/10/2025,1600
688998,"Курбаса 4/2",03/10/2025,2200
690430,"Куліша 6, б",01/10/2025,1800
690430,"Куліша 6, б",02/10/2025,2500
690430,"Куліша 6, б",03/10/2025,3200
693848,"Раппапорта 15",01/10/2025,2200
693848,"Раппапорта 15",02/10/2025,1800
693848,"Раппапорта 15",03/10/2025,4200
711225,"Крехівська 10",01/10/2025,28000
711225,"Крехівська 10",02/10/2025,28000
711225,"Крехівська 10",03/10/2025,28000
712985,"Шевченка 73а",01/10/2025,29000
712985,"Шевченка 73а",02/10/2025,29000
712985,"Шевченка 73а",03/10/2025,29000
