room,date,price_real
Городоцька 33,2024-09-06,1900.0
Чайковського 26,2024-09-07,2166.67
Балабана 3,2024-09-05,1800.0
Балабана 3,2024-09-06,1800.0
Ковжуна 2/5,2024-09-05,1200.0
Газова 10,2024-09-08,2475.0
Мосяжна 4,2024-09-05,3733.33
Мосяжна 4,2024-09-06,3733.33
Мосяжна 4,2024-09-07,3733.33
Хмельницького 37,2024-09-05,1600.0
Сербська 6,2024-09-05,1148.0
Городоцька 31,2024-09-05,2459.81
Підмурна 24,2024-09-05,1312.16
Шевченка 19,2024-09-05,1639.84
Чорновола 1,2024-09-05,1475.99
Словацького 8,2024-09-05,2166.67
Словацького 8,2024-09-06,2166.67
Словацького 8,2024-09-07,2166.67
Балабана 23/1,2024-09-05,1476.1
Вірменська 13,2024-09-06,3200.0
Вірменська 13,2024-09-07,3200.0
Цехова 9,2024-09-06,1800.0
Балабана 23,2024-09-06,3500.0
Балабана 23,2024-09-07,3500.0
Балабана 23,2024-09-08,3500.0
Балабана 23,2024-09-09,3500.0
Наливайка 13,2024-09-06,2200.0
Наливайка 13,2024-09-07,2200.0
Сербська 6/1,2024-09-06,1100.0
Ковжуна 2/6,2024-09-06,1330.0
Ковжуна 2/6,2024-09-07,1330.0
Ковжуна 2/6,2024-09-08,1330.0
Ковжуна 2/6,2024-09-09,1330.0
Ковжуна 2/6,2024-09-10,1330.0
Джерельна 34,2024-09-06,2500.0
Підмурна 24,2024-09-06,1640.0
Підмурна 24,2024-09-07,1640.0
Балабана 23/1,2024-09-06,2800.0
Балабана 23/1,2024-09-07,2800.0
Ковжуна 2/5,2024-09-06,1086.45
Ковжуна 2/5,2024-09-07,1086.45
Ковжуна 2/7,2024-09-06,1100.0
Чорновола 1,2024-09-06,2750.0
Чорновола 1,2024-09-07,2750.0
Шевченка 19,2024-09-06,1900.0
Шевченка 60,2024-09-06,1500.0
ковжуна 2/9,2024-09-06,1100.0
Городоцька 33,2024-09-07,3500.0
Шевченка 19,2024-09-07,2260.0
Шевченка 19,2024-09-08,2260.0
Шевченка 19,2024-09-09,2260.0
Шевченка 19,2024-09-10,2260.0
Шевченка 19,2024-09-11,2260.0
Шевченка 19,2024-09-12,2260.0
Шевченка 19,2024-09-13,2260.0
Шевченка 19,2024-09-14,2260.0
Шевченка 19,2024-09-15,2260.0
Шевченка 19,2024-09-16,2260.0
Балабана 3,2024-09-07,2300.0
Балабана 3,2024-09-08,2300.0
Сербська 6/1,2024-09-07,1800.0
Хмельницького 37,2024-09-07,2500.0
Сербська 6,2024-09-07,1333.33
Сербська 6,2024-09-08,1333.33
Сербська 6,2024-09-09,1333.33
Цехова 9,2024-09-07,1860.0
Цехова 9,2024-09-08,1860.0
Цехова 9,2024-09-09,1860.0
Цехова 9,2024-09-10,1860.0
Цехова 9,2024-09-11,1860.0
Шевченка 60,2024-09-07,2600.0
Ковжуна 2/7,2024-09-07,1550.0
ковжуна 2/8,2024-09-07,1550.0
ковжуна 2/9,2024-09-07,1500.0
Франка 28,2024-09-07,2600.0
Городоцька 31,2024-09-07,3500.0
Городоцька 31,2024-09-08,3500.0
Джерельна 34,2024-09-07,3279.84
Мосяжна 4,2024-09-08,3000.0
Чайковського 26,2024-09-08,1700.0
Джерельна 34,2024-09-08,3200.0
Хмельницького 37,2024-09-08,1600.0
ковжуна 2/8,2024-09-08,1024.88
Сербська 6/1,2024-09-08,1333.33
Сербська 6/1,2024-09-09,1333.33
Сербська 6/1,2024-09-10,1333.33
Городоцька 33,2024-09-08,1803.85
Ковжуна 2/7,2024-09-08,1100.0
Ковжуна 2/7,2024-09-09,1100.0
Чорновола 1,2024-09-08,2200.0
Наливайка 13,2024-09-08,2200.0
Підмурна 24,2024-09-08,1230.08
Підмурна 24,2024-09-09,1230.08
Словацького 8,2024-09-08,1475.98
Балабана 23/1,2024-09-09,1800.0
Городоцька 31,2024-09-09,3000.0
Чайковського 26,2024-09-09,1700.0
Мосяжна 4,2024-09-09,2600.0
Вірменська 13,2024-09-09,1600.0
Наливайка 13,2024-09-09,1600.0
Мосяжна 4,2024-09-10,3133.33
Мосяжна 4,2024-09-11,3133.33
Франка 28,2024-09-09,1700.0
Газова 10,2024-09-09,1312.13
Хмельницького 37,2024-09-09,1400.0
Городоцька 33,2024-09-10,2700.0
Городоцька 33,2024-09-11,2700.0
Городоцька 33,2024-09-12,2700.0
Городоцька 33,2024-09-13,2700.0
Городоцька 33,2024-09-14,2700.0
Городоцька 33,2024-09-15,2700.0
Городоцька 33,2024-09-16,2700.0
Городоцька 33,2024-09-17,2700.0
Городоцька 33,2024-09-18,2700.0
Городоцька 33,2024-09-19,2700.0
Франка 28,2024-09-10,1700.0
Балабана 23,2024-09-10,2500.0
Чорновола 1,2024-09-10,2000.0
Газова 10,2024-09-10,1312.03
Ковжуна 2/7,2024-09-10,1100.0
Шевченка 38/1,2024-09-10,1065.93
Словацького 8,2024-09-11,1400.0
Балабана 3,2024-09-11,2000.0
Балабана 3,2024-09-12,2000.0
Ковжуна 2/6,2024-09-11,1725.49
Ковжуна 2/6,2024-09-12,1725.49
Ковжуна 2/6,2024-09-13,1725.49
Ковжуна 2/6,2024-09-14,1725.49
Ковжуна 2/6,2024-09-15,1725.49
Ковжуна 2/6,2024-09-16,1725.49
Ковжуна 2/6,2024-09-17,1725.49
Ковжуна 2/6,2024-09-18,1725.49
Ковжуна 2/6,2024-09-19,1725.49
Ковжуна 2/6,2024-09-20,1725.49
Ковжуна 2/6,2024-09-21,1725.49
Ковжуна 2/6,2024-09-22,1725.49
Ковжуна 2/6,2024-09-23,1725.49
Ковжуна 2/6,2024-09-24,1725.49
Ковжуна 2/6,2024-09-25,1725.49
Ковжуна 2/6,2024-09-26,1725.49
Ковжуна 2/6,2024-09-27,1725.49
Ковжуна 2/6,2024-09-28,1725.49
Ковжуна 2/6,2024-09-29,1725.49
Ковжуна 2/6,2024-09-30,1725.49
Ковжуна 2/6,2024-10-01,1725.49
Ковжуна 2/6,2024-10-02,1725.49
Ковжуна 2/6,2024-10-03,1725.49
Ковжуна 2/6,2024-10-04,1725.49
Ковжуна 2/6,2024-10-05,1725.49
Ковжуна 2/6,2024-10-06,1725.49
Ковжуна 2/6,2024-10-07,1725.49
Ковжуна 2/6,2024-10-08,1725.49
Ковжуна 2/6,2024-10-09,1725.49
Ковжуна 2/6,2024-10-10,1725.49
Ковжуна 2/6,2024-10-11,1725.49
Ковжуна 2/6,2024-10-12,1725.49
Ковжуна 2/6,2024-10-13,1725.49
Ковжуна 2/6,2024-10-14,1725.49
Ковжуна 2/6,2024-10-15,1725.49
Ковжуна 2/6,2024-10-16,1725.49
Ковжуна 2/6,2024-10-17,1725.49
Ковжуна 2/6,2024-10-18,1725.49
Ковжуна 2/6,2024-10-19,1725.49
Ковжуна 2/6,2024-10-20,1725.49
Ковжуна 2/6,2024-10-21,1725.49
Ковжуна 2/6,2024-10-22,1725.49
Ковжуна 2/6,2024-10-23,1725.49
Ковжуна 2/6,2024-10-24,1725.49
Ковжуна 2/6,2024-10-25,1725.49
Ковжуна 2/6,2024-10-26,1725.49
Ковжуна 2/6,2024-10-27,1725.49
Ковжуна 2/6,2024-10-28,1725.49
Ковжуна 2/6,2024-10-29,1725.49
Ковжуна 2/6,2024-10-30,1725.49
Ковжуна 2/6,2024-10-31,1725.49
Газова 10,2024-09-11,1600.0
ковжуна 2/8,2024-09-11,984.02
ковжуна 2/8,2024-09-12,984.02
Наливайка 13,2024-09-11,1804.0
Наливайка 13,2024-09-12,1804.0
Наливайка 13,2024-09-13,1804.0
Наливайка 13,2024-09-14,1804.0
Наливайка 13,2024-09-15,1804.0
Ковжуна 2/7,2024-09-11,956.72
Ковжуна 2/7,2024-09-12,956.72
Ковжуна 2/7,2024-09-13,956.72
Підмурна 24,2024-09-11,1503.31
Підмурна 24,2024-09-12,1503.31
Підмурна 24,2024-09-13,1503.31
Підмурна 24,2024-09-14,1503.31
Підмурна 24,2024-09-15,1503.31
Підмурна 24,2024-09-16,1503.31
Балабана 23,2024-09-11,2700.0
Шевченка 60,2024-09-11,1500.0
Шевченка 60,2024-09-12,1500.0
Сербська 6/1,2024-09-11,1100.0
Франка 28,2024-09-11,1700.0
Франка 28,2024-09-12,1700.0
ковжуна 2/9,2024-09-11,1000.0
Чорновола 1,2024-09-11,1804.0
Шевченка 38/1,2024-09-11,1300.0
ковжуна 2/9,2024-09-12,1100.0
Вірменська 13,2024-09-12,1900.0
Вірменська 13,2024-09-13,1900.0
Балабана 23/1,2024-09-12,1800.0
Балабана 23,2024-09-12,2600.0
Словацького 8,2024-09-12,1700.0
Словацького 8,2024-09-13,1700.0
Цехова 9,2024-09-12,1900.0
Цехова 9,2024-09-13,1900.0
Газова 10,2024-09-12,1312.0
Сербська 6,2024-09-12,820.09
Шевченка 38/1,2024-09-12,1065.89
Чорновола 1,2024-09-12,2131.97
Чорновола 1,2024-09-13,2131.97
Сербська 6/1,2024-09-12,737.84
Шевченка 38/1,2024-09-13,2400.0
Шевченка 38/1,2024-09-14,2400.0
Джерельна 34,2024-09-13,3000.0
Франка 28,2024-09-13,1700.0
Хмельницького 37,2024-09-13,1600.0
Газова 10,2024-09-13,2000.0
Франка 14,2024-09-13,3000.0
Чайковського 26,2024-09-13,1800.0
ковжуна 2/8,2024-09-13,984.2
Ковжуна 2/5,2024-09-13,1200.0
ковжуна 2/9,2024-09-13,984.0
Ковжуна 2/4,2024-09-13,984.19
Балабана 23/1,2024-09-13,1639.91
Городоцька 31,2024-09-13,2459.87
Шевченка 60,2024-09-13,2033.33
Шевченка 60,2024-09-14,2033.33
Шевченка 60,2024-09-15,2033.33
Сербська 6,2024-09-13,1100.0
Сербська 6/1,2024-09-13,1000.0
Городоцька 31,2024-09-14,3333.33
Городоцька 31,2024-09-15,3333.33
Городоцька 31,2024-09-16,3333.33
Вірменська 13,2024-09-14,2200.0
Вірменська 13,2024-09-15,2200.0
Хмельницького 37,2024-09-14,2400.0
Чорновола 1,2024-09-14,3000.0
Чайковського 26,2024-09-14,2050.0
Чайковського 26,2024-09-15,2050.0
Балабана 3,2024-09-14,2800.0
Чайковського 26,2024-09-16,1933.33
Франка 28,2024-09-14,2800.0
Ковжуна 2/4,2024-09-14,1800.0
Сербська 6,2024-09-14,2000.0
Ковжуна 2/7,2024-09-14,1600.0
ковжуна 2/8,2024-09-14,1189.09
ковжуна 2/8,2024-09-15,1189.09
Ковжуна 2/5,2024-09-14,1476.07
ковжуна 2/9,2024-09-14,1700.0
Франка 14,2024-09-14,3000.0
Франка 14,2024-09-15,3000.0
Франка 14,2024-09-16,3000.0
Франка 14,2024-09-17,3000.0
Франка 14,2024-09-18,3000.0
Франка 14,2024-09-19,3000.0
Сербська 6/1,2024-09-14,1800.0
Балабана 23/1,2024-09-14,2500.0
Балабана 23,2024-09-14,3500.0
Балабана 23,2024-09-15,3500.0
Цехова 9,2024-09-14,1867.5
Цехова 9,2024-09-15,1867.5
ковжуна 2/9,2024-09-15,1550.0
Мосяжна 4,2024-09-14,3279.95
Газова 10,2024-09-14,1803.95
Газова 10,2024-09-15,1803.95
Франка 28,2024-09-15,1800.0
Франка 28,2024-09-16,1800.0
Хмельницького 37,2024-09-15,1600.0
ковжуна 2/9,2024-09-16,1000.0
Шевченка 38/1,2024-09-15,1229.98
Шевченка 38/1,2024-09-16,1229.98
Куліша 47а,2024-09-15,2459.93
Сербська 6/1,2024-09-15,1250.0
Сербська 6/1,2024-09-16,1250.0
Ковжуна 2/5,2024-09-15,820.0
Чорновола 1,2024-09-15,2049.94
Балабана 23/1,2024-09-15,1800.0
Сербська 6,2024-09-15,1200.0
Мосяжна 4,2024-09-15,2700.0
Ковжуна 2/7,2024-09-15,1233.33
Ковжуна 2/7,2024-09-16,1233.33
Ковжуна 2/7,2024-09-17,1233.33
Ковжуна 2/7,2024-09-18,1233.33
Ковжуна 2/7,2024-09-19,1233.33
Ковжуна 2/7,2024-09-20,1233.33
Балабана 23,2024-09-16,2000.0
Балабана 23,2024-09-17,2000.0
Балабана 23,2024-09-18,2000.0
Балабана 23,2024-09-19,2000.0
Балабана 23/1,2024-09-16,1800.0
Чорновола 1,2024-09-16,2000.0
Куліша 47а,2024-09-16,2500.0
Сербська 6,2024-09-16,983.89
Сербська 6,2024-09-17,983.89
Цехова 9,2024-09-16,1440.0
Цехова 9,2024-09-17,1440.0
Цехова 9,2024-09-18,1440.0
Цехова 9,2024-09-19,1440.0
Наливайка 13,2024-09-16,1800.0
Наливайка 13,2024-09-17,1800.0
Підмурна 24,2024-09-17,1500.0
ковжуна 2/8,2024-09-17,819.92
ковжуна 2/8,2024-09-18,819.92
Сербська 6/1,2024-09-17,1100.0
Балабана 23/1,2024-09-17,1500.0
Ковжуна 2/4,2024-09-17,820.0
Ковжуна 2/4,2024-09-18,820.0
Чорновола 1,2024-09-17,2050.01
Чорновола 1,2024-09-18,2050.01
Чорновола 1,2024-09-19,2050.01
Газова 10,2024-09-17,1500.0
